"lon","lat","presAbs"
-112.494258,38.754235,0
-110.206897,37.626433,0
-110.821057,38.942112,0
-109.07611,38.290767,0
-112.132439,37.624147,0
-109.604479,39.702503,0
-110.772254,40.37342,0
-109.619205,37.705612,0
-112.71442,38.477984,0
-110.82258,40.784914,0
-110.82258,40.784914,1
-110.462592,39.74773,0
-109.290641,37.532928,0
-109.978063,37.673721,0
-111.347153,41.058021,0
-113.154722,37.476999,0
-111.062817,40.653884,0
-111.062817,40.653884,1
-109.668254,39.429373,0
-111.16595,38.036016,0
-112.26159,37.329973,0
-111.847138,37.584858,0
-111.885776,38.560615,0
-110.533205,40.065591,0
-112.488924,38.528636,0
-112.488924,38.528636,1
-111.435404,37.571604,0
-109.406187,39.404831,0
-113.478197,41.935375,0
-111.665707,41.820787,0
-110.627768,40.994978,0
-112.595427,40.509958,0
-112.420799,40.45987,0
-113.882063,40.212112,0
-110.591719,40.292179,0
-111.574814,38.128095,0
-111.574814,38.128095,1
-109.334878,39.488988,0
-111.782224,39.946009,0
-111.607615,38.515617,0
-109.921029,37.989345,0
-111.558829,38.074255,0
-111.595587,40.97043,0
-111.595587,40.97043,1
-109.455925,40.915068,0
-112.357342,37.49467,0
-112.026917,38.397822,0
-110.591862,40.333784,0
-111.112506,39.572731,0
-111.112506,39.572731,1
-109.81987,40.651464,0
-109.81987,40.651464,1
-111.575532,38.80077,0
-114.015417,38.636995,0
-113.547622,37.5155,0
-111.171435,40.470239,0
-111.90832,37.900273,0
-113.768682,37.559462,0
-111.576978,39.296512,0
-110.512008,40.136479,0
-111.412224,38.063565,0
-113.025659,37.213557,0
-109.166041,39.40263,0
-111.287325,39.349241,0
-111.349776,39.071464,0
-111.349776,39.071464,1
-114.029034,38.272953,0
-111.796834,37.406832,0
-113.790875,38.097646,0
-109.867267,37.407584,0
-113.177334,38.380383,0
-110.996031,39.796711,0
-110.996031,39.796711,1
-110.305762,39.749647,0
-111.744269,38.807039,0
-110.581514,40.878312,0
-112.25503,38.396537,0
-110.40452,40.698126,0
-111.059858,37.233143,0
-110.938465,38.119963,0
-111.704832,38.063532,0
-111.704832,38.063532,1
-111.110323,37.225877,0
-110.821736,40.252108,0
-111.843735,37.543929,0
-111.563316,38.626848,0
-110.114204,40.876622,0
-110.228786,40.874841,0
-110.827402,37.992601,0
-112.398577,39.882727,0
-110.641872,40.649424,0
-112.374969,38.48279,0
-112.374969,38.48279,1
-109.405306,40.741811,0
-110.398457,40.915046,0
-111.413598,41.556276,1
-111.413598,41.556276,0
-112.394753,37.089264,0
-112.153338,39.113427,0
-111.914642,37.81433,0
-111.914642,37.81433,1
-109.699859,37.630788,0
-111.453683,37.949667,0
-109.706403,40.596793,0
-109.706403,40.596793,1
-113.870941,39.895971,0
-109.980805,40.875774,0
-109.065387,38.202867,0
-111.348397,40.336836,0
-111.348397,40.336836,1
-111.538017,41.69194,0
-111.538017,41.69194,1
-109.078331,40.792293,0
-113.95341,41.741571,0
-109.434565,39.383786,0
-111.176223,39.702819,0
-111.176223,39.702819,1
-111.18035,40.693384,0
-111.18035,40.693384,1
-109.523838,40.773674,0
-109.523838,40.773674,1
-109.094132,38.845297,0
-111.643472,39.798671,0
-110.195364,39.165904,0
-113.637097,41.661582,0
-113.205013,37.474074,0
-110.349007,40.562899,0
-110.349007,40.562899,1
-110.583169,40.69981,0
-110.99878,37.187322,0
-112.603209,38.57259,0
-111.791042,37.635886,0
-109.430039,39.512091,0
-109.52385,37.895311,0
-111.466597,38.804074,0
-111.466597,38.804074,1
-110.410177,40.744325,0
-112.74023,37.037257,0
-114.021741,41.151718,0
-110.708795,40.83536,0
-111.413896,41.009423,0
-111.120289,39.930705,0
-112.663107,37.382975,0
-112.192671,37.407414,0
-111.741626,38.536295,0
-111.741626,38.536295,1
-109.106935,38.475259,0
-109.670775,39.157673,0
-110.2127,39.182245,0
-112.989154,37.343834,0
-109.123576,37.979465,0
-111.62466,37.451601,0
-111.843909,37.313022,0
-112.450205,37.004516,0
-111.348223,37.859063,0
-109.797863,38.484246,0
-114.001811,38.069058,0
-110.167932,40.595697,0
-112.148436,38.532791,0
-110.597471,39.842679,0
-112.794461,37.079671,0
-111.301355,40.967594,0
-111.301355,40.967594,1
-111.231265,39.478356,0
-111.231265,39.478356,1
-111.40872,39.800786,0
-112.172816,39.791692,0
-111.17405,40.517311,0
-112.246896,37.315634,0
-111.990316,39.79214,0
-110.635678,40.871988,0
-113.90971,37.95546,0
-111.89466,38.156259,1
-111.89466,38.156259,0
-112.054078,39.926592,0
-112.690129,41.942554,0
-113.540325,38.95939,0
-112.383193,38.801827,0
-111.288826,38.940729,0
-109.269585,37.606851,0
-112.131989,37.758979,0
-113.726353,41.498335,0
-109.133225,37.526644,0
-110.264123,37.671657,0
-111.614822,40.721273,0
-111.614822,40.721273,1
-109.807861,40.726821,0
-112.139615,38.033594,0
-113.570818,38.145978,0
-112.358286,37.222401,0
-110.881037,39.977473,0
-110.655179,39.931486,0
-109.35742,39.699115,0
-112.753183,37.391763,0
-109.181602,37.66523,0
-113.944172,37.508025,0
-111.260591,38.959429,0
-113.373265,39.184101,0
-110.534142,39.657815,0
-112.110419,39.841157,0
-112.016707,37.718885,0
-112.277282,39.161526,0
-110.063158,39.667798,0
-109.644761,40.642409,0
-109.644761,40.642409,1
-112.074997,37.49481,0
-112.674029,37.83597,0
-113.836751,37.599032,0
-113.877888,40.165976,0
-109.314793,39.556955,0
-111.538084,41.461253,0
-111.538084,41.461253,1
-110.351083,39.881611,0
-110.034205,40.57608,0
-110.034205,40.57608,1
