"PLOT","presAbs","lon","lat"
80631,0,-112.648492,40.366813
80633,0,-111.332531,39.819932
80634,0,-114.005244,37.372903
80638,0,-110.825259,39.706449
80640,0,-111.646928,40.647313
80641,0,-110.482157,40.518144
80641,1,-110.482157,40.518144
80647,0,-113.974021,38.268014
80648,0,-111.631356,39.210766
80649,0,-111.818365,39.342743
80653,0,-111.581661,39.119738
80655,0,-112.149083,41.952274
80661,0,-110.356648,39.92597
80668,0,-110.241646,40.017885
80669,0,-111.284072,37.858562
80670,0,-112.798951,37.520438
80674,0,-110.147977,38.130942
80675,0,-111.706087,39.659304
80676,0,-111.353704,39.978057
80678,0,-113.365959,37.299652
80682,0,-112.18514,37.222404
80685,0,-111.783284,41.464968
80686,0,-110.883028,38.669393
80689,0,-111.052982,39.662652
80693,0,-111.235562,39.033746
80695,0,-109.435708,39.473865
80701,0,-112.720773,38.388783
80705,0,-113.371438,37.523574
80707,0,-110.800679,37.969706
80709,0,-109.217689,39.854821
80710,0,-111.587137,39.663109
80716,0,-110.203038,37.852123
80720,0,-109.281349,40.863842
80721,1,-111.513609,38.039349
80721,0,-111.513609,38.039349
80725,0,-111.401624,38.717664
80728,0,-112.069378,38.561682
80728,1,-112.069378,38.561682
80729,0,-109.052955,40.503017
80730,0,-113.798542,37.538208
80733,0,-112.979182,37.664541
80737,0,-111.227941,39.118562
80738,0,-112.879905,37.801475
80739,0,-111.227818,39.617149
80742,0,-112.108292,39.611055
80746,0,-110.844658,39.247286
80749,0,-110.304132,39.612256
80753,0,-110.853483,40.183348
80755,0,-109.101894,38.566046
80763,0,-112.033625,37.905812
80765,0,-110.248105,39.521056
80766,0,-111.662567,39.868545
80768,0,-111.181921,40.02449
80770,0,-111.319323,40.307458
80770,1,-111.319323,40.307458
80775,0,-109.94271,40.96765
80775,1,-109.94271,40.96765
80776,0,-110.420743,39.616439
80778,0,-110.136306,39.389052
80780,0,-110.295772,40.744807
80781,0,-109.218965,38.788615
80782,0,-109.361413,38.554477
80783,0,-113.702494,38.636653
80784,0,-112.522641,39.963454
80787,0,-112.640025,37.931764
80789,0,-113.762451,37.37918
80793,0,-109.210995,37.597308
80800,0,-111.406845,39.390846
80800,1,-111.406845,39.390846
80802,0,-111.423084,41.688666
80802,1,-111.423084,41.688666
80808,0,-110.936655,39.752439
80808,1,-110.936655,39.752439
80809,0,-109.644306,37.54056
80817,0,-111.355651,40.198643
80823,0,-113.439657,37.789068
80826,0,-113.313296,40.149053
80831,0,-113.629086,38.141766
80833,0,-110.529382,40.334926
80834,0,-109.996572,40.471767
80836,0,-110.800225,40.635227
80840,0,-111.535112,39.437554
80844,0,-110.716401,37.994928
80845,0,-112.228667,39.922319
80846,0,-113.990739,38.450616
80847,0,-112.110427,39.947252
80848,0,-109.095267,38.890108
80850,0,-112.349812,37.085643
80851,0,-113.146427,37.343019
80854,0,-110.075331,37.745595
80857,0,-110.976824,40.266751
80858,0,-111.657446,38.999472
80859,0,-111.54125,41.777667
80859,1,-111.54125,41.777667
80861,0,-109.586475,40.598543
80862,0,-111.47564,40.200088
80863,0,-113.870027,40.123609
80864,0,-113.179596,41.874107
80869,0,-112.525551,38.276387
80872,0,-109.878431,40.916846
80879,0,-112.078951,37.452275
80883,0,-112.044436,39.699329
80886,0,-110.361304,39.434843
80887,0,-111.524697,38.268961
80888,0,-111.858214,38.752603
80889,0,-111.088039,39.730641
80889,1,-111.088039,39.730641
80891,0,-111.835144,41.411875
80892,0,-113.456917,39.8157
80894,0,-112.588263,40.145421
80898,0,-110.93591,40.521985
80900,0,-112.941059,38.021061
80902,0,-112.782815,38.395107
80903,0,-111.502787,38.965009
80905,0,-114.027927,38.455994
80906,0,-110.634799,38.823591
80907,0,-109.305319,37.396607
80920,0,-113.531552,41.88902
80921,0,-111.69441,39.386104
80924,0,-111.573912,37.945918
80926,0,-111.789977,37.493162
80929,0,-111.521915,38.443238
80929,1,-111.521915,38.443238
80931,0,-112.631625,37.584684
80931,1,-112.631625,37.584684
80935,0,-112.471651,37.219449
80936,0,-110.650163,40.565784
80936,1,-110.650163,40.565784
80938,0,-112.223908,41.785073
80940,0,-110.15354,37.62994
80943,0,-112.882854,38.338712
80945,0,-110.183042,39.750845
80950,0,-111.74474,37.720493
80951,0,-113.579934,38.418784
80954,0,-113.383977,37.653066
80955,0,-110.64522,40.964371
80956,0,-109.520981,38.030402
80960,0,-113.112979,39.731876
80963,0,-110.354617,39.484714
80964,0,-109.58177,37.846499
80968,0,-112.997192,38.114051
80970,0,-109.673547,40.851038
80975,0,-111.312993,39.374864
80975,1,-111.312993,39.374864
80976,0,-109.236062,38.349399
80977,0,-111.770698,40.607902
80978,0,-111.16844,37.366762
80979,0,-111.046993,39.482226
80981,0,-112.840594,38.839205
80982,0,-111.540403,41.911594
80983,0,-112.946509,40.496765
80985,0,-110.28154,40.963311
80985,1,-110.28154,40.963311
80986,0,-111.370326,39.369644
80990,0,-111.578643,39.205204
80991,0,-112.744923,37.122017
80993,0,-113.155403,38.107044
80995,0,-109.170482,38.480927
80996,0,-111.063792,39.439748
80996,1,-111.063792,39.439748
80998,0,-113.265371,37.567598
81001,0,-111.709584,40.380022
81002,0,-111.397353,38.538843
81004,0,-111.003924,40.472568
81004,1,-111.003924,40.472568
81010,0,-111.521812,39.251113
81010,1,-111.521812,39.251113
81011,0,-109.74299,40.935846
81012,0,-112.405526,38.277625
81012,1,-112.405526,38.277625
81014,0,-111.507712,37.454578
81024,0,-113.987791,38.587971
81025,0,-110.145028,37.76582
81031,0,-113.537448,37.248626
81032,0,-111.881679,40.24636
81035,0,-111.917133,38.259972
81038,0,-114.04434,37.86986
81042,0,-112.80538,37.307337
81043,0,-112.465295,39.925311
81047,0,-113.775689,37.421373
81049,0,-110.709619,39.799312
81051,0,-109.528496,37.534874
81052,0,-112.791576,40.855695
81054,0,-112.048912,38.888409
81057,0,-110.710573,39.884025
81060,0,-111.638849,38.801813
81060,1,-111.638849,38.801813
81061,0,-111.107773,40.462482
81062,0,-109.378609,39.290715
81064,0,-109.662736,39.250966
81065,0,-113.901124,39.786045
81071,0,-109.681044,38.572967
81072,0,-111.348926,39.481343
81077,0,-113.028202,38.811046
81084,0,-113.87055,40.030619
81085,0,-109.395267,40.908998
81086,0,-112.031509,38.438732
81086,1,-112.031509,38.438732
81087,0,-112.638112,37.354586
81088,0,-112.268155,41.953378
81089,1,-111.474776,40.290635
81089,0,-111.474776,40.290635
81091,0,-110.471151,40.33691
81092,0,-112.554371,38.205177
81095,0,-110.190197,39.566794
81096,0,-109.367964,37.262997
81101,0,-111.435245,39.453387
81104,0,-111.122981,40.834392
81105,0,-110.885022,38.039
81106,0,-111.575229,38.487103
81107,0,-112.317472,38.708244
81108,0,-113.067275,37.46576
81112,0,-111.290511,39.567516
81113,0,-109.250373,39.510045
81117,0,-112.531544,37.57796
81118,0,-110.23373,40.468016
81122,0,-110.995213,40.249993
81125,0,-113.833622,37.467089
81126,0,-111.231123,38.982116
81128,0,-110.887011,40.831655
81130,0,-111.556972,38.513844
81132,0,-109.17722,40.454103
81136,0,-111.903102,37.676417
81137,0,-111.260318,38.103812
81142,0,-111.255487,39.902583
81148,0,-113.797121,38.234918
81151,0,-112.698863,37.398888
81154,0,-112.318179,38.574873
81155,0,-109.235438,38.204041
81156,0,-111.865522,38.804634
81162,0,-111.227569,39.573612
81164,0,-110.471488,40.023847
81166,0,-110.825388,40.334357
81169,0,-110.710635,39.933301
81171,0,-113.012368,40.587849
81172,0,-113.79865,38.27572
81174,0,-112.42224,37.220785
81175,0,-110.175849,40.785756
81182,0,-113.373823,37.344218
81185,0,-109.397085,37.894208
81189,0,-112.134865,41.991793
81189,1,-112.134865,41.991793
81198,0,-111.226465,39.078148
81205,0,-111.563281,38.595817
81205,1,-111.563281,38.595817
81206,0,-111.9162,41.297963
81209,0,-109.202854,39.377754
81210,0,-112.37158,38.170981
81212,0,-110.704289,40.695361
81214,0,-111.368003,37.569842
81216,0,-112.659428,38.160583
81218,0,-112.465669,37.267747
81219,0,-112.712859,37.856606
81221,0,-113.088371,37.302027
81223,0,-112.664946,38.434997
81224,0,-112.041771,39.297625
81225,0,-112.323603,38.396636
81226,0,-111.957075,41.504743
81228,0,-111.683312,37.541603
81229,0,-109.840461,39.115811
81233,0,-110.395698,40.878838
81236,0,-110.881973,40.788816
81238,0,-112.129632,37.223498
81243,0,-109.823584,40.599107
81246,0,-111.117785,40.423904
81247,0,-109.914657,39.6249
81248,0,-112.158577,39.341525
81250,0,-112.693904,37.490742
81250,1,-112.693904,37.490742
81251,0,-114.031129,41.200583
81255,0,-111.408116,39.70138
81264,0,-110.164074,38.243962
81267,0,-111.849975,37.855562
81267,1,-111.849975,37.855562
81268,0,-109.160818,38.704225
81270,0,-112.534716,37.621146
81271,0,-110.943843,40.927021
81271,1,-110.943843,40.927021
81275,0,-109.988011,40.919245
81280,0,-109.171185,40.414215
81282,0,-112.631792,37.217715
81291,0,-113.919688,38.361483
81297,0,-113.366755,39.143021
81301,0,-113.976613,38.679067
81306,0,-112.249725,37.494154
81308,0,-112.075883,37.674892
81310,0,-109.447907,39.298925
81313,0,-111.106331,40.689987
81313,1,-111.106331,40.689987
81320,0,-112.069799,37.538094
81322,0,-110.826126,40.381477
81322,1,-110.826126,40.381477
81323,0,-111.100769,40.261494
81323,1,-111.100769,40.261494
81326,0,-111.521618,39.344738
81330,0,-111.399295,39.167755
81330,1,-111.399295,39.167755
81335,0,-111.405584,39.523611
81337,0,-110.068188,39.479957
81339,0,-113.954081,39.790364
81340,0,-112.189553,37.72269
81342,0,-110.262019,38.395505
81343,0,-110.878044,40.341935
81343,1,-110.878044,40.341935
81345,0,-113.516469,38.236472
81350,0,-109.978269,37.447712
81351,0,-112.981832,37.394792
81361,0,-111.318227,38.95913
81362,0,-111.693012,38.490841
81363,0,-112.247021,37.673684
81364,0,-112.144274,38.166484
81365,0,-111.755119,39.748499
81370,0,-109.631984,38.028921
81375,0,-111.13258,38.009604
81377,0,-112.619562,40.069946
81381,0,-110.409819,40.01658
81382,0,-110.476688,39.572532
81384,0,-112.015389,37.44461
81385,0,-112.306132,39.994553
81388,0,-113.921079,38.547303
81390,0,-111.713308,40.699428
81391,0,-111.80902,38.80009
81392,0,-111.800232,37.948818
81392,1,-111.800232,37.948818
81394,0,-109.547853,39.333723
81395,0,-111.226812,37.945973
81399,0,-111.929109,39.610145
81405,0,-109.495006,39.380964
81407,0,-113.627722,38.328283
81408,0,-109.641761,37.492909
81410,0,-109.364678,37.484888
81412,0,-111.435095,38.963691
81415,0,-112.92081,37.257326
81417,0,-112.832635,38.569558
81419,0,-113.161727,41.441136
81422,0,-111.813628,39.793984
81423,0,-112.530649,37.709513
81424,0,-111.530172,40.831274
81424,1,-111.530172,40.831274
81425,0,-111.509417,39.027001
81426,0,-109.67086,39.199906
81428,0,-111.803866,39.668407
81432,0,-112.491722,38.70707
81435,0,-110.348709,40.601039
81438,0,-112.326989,39.250381
81442,0,-111.4105,40.88166
81443,0,-113.716962,37.471426
81446,0,-113.027127,37.167158
81448,0,-110.888969,37.637967
81449,0,-111.285965,38.445516
81451,0,-111.46148,40.756245
81452,0,-112.688301,40.490665
81454,0,-111.855477,37.994944
81454,1,-111.855477,37.994944
81457,0,-109.923677,37.539019
81458,0,-111.175128,39.161264
81463,0,-111.523601,37.944637
81464,0,-111.594918,41.011715
81465,0,-113.89744,37.86778
81466,0,-109.366353,39.878055
81468,0,-112.815101,37.575669
81468,1,-112.815101,37.575669
81473,0,-112.40987,37.171994
81475,0,-111.179399,39.889933
81475,1,-111.179399,39.889933
81481,0,-111.50973,40.310668
81482,0,-111.41301,39.751948
81483,0,-109.200615,39.467202
81490,0,-113.43824,37.746678
81495,0,-114.006133,41.603308
81496,0,-110.537011,40.249146
81501,0,-110.947452,40.333799
81501,1,-110.947452,40.333799
81505,0,-110.497374,40.545717
81505,1,-110.497374,40.545717
81507,0,-110.246738,37.830224
81511,0,-112.657711,38.390559
81514,0,-110.041864,37.763371
81516,0,-111.751731,39.971443
81521,0,-109.187502,37.576993
81523,0,-111.479128,41.956224
81524,0,-109.539886,39.78845
81525,0,-111.520058,39.79529
81528,0,-110.938783,40.200541
81529,0,-112.145447,37.99082
81531,0,-113.678611,38.14506
81532,0,-110.76586,40.562515
81533,0,-112.279819,40.435567
81536,0,-111.547132,41.548627
81537,1,-110.247565,39.56843
81537,0,-110.247565,39.56843
81539,0,-112.255739,37.454051
81540,0,-109.77075,40.198287
81541,0,-110.114553,40.786522
81542,0,-109.846696,40.489377
81543,0,-110.649893,40.067781
81544,0,-110.886708,40.206401
81545,0,-111.435603,41.985214
81546,0,-109.31145,39.603292
81549,0,-111.473772,39.748489
81552,0,-110.778647,39.850545
81552,1,-110.778647,39.850545
81553,0,-112.265734,39.393964
81556,0,-109.878614,37.315518
81560,0,-111.687415,37.814905
81562,0,-109.812791,38.603147
81567,0,-111.806727,38.030078
81567,1,-111.806727,38.030078
81568,0,-111.175012,39.571655
81569,0,-112.188373,40.64587
81569,1,-112.188373,40.64587
81570,0,-111.061354,40.066657
81570,1,-111.061354,40.066657
81572,0,-110.766331,40.337718
81572,1,-110.766331,40.337718
81573,0,-111.966395,37.723491
81576,0,-109.32224,39.505492
81577,0,-112.264932,38.841561
81578,0,-110.996793,40.289597
81579,0,-113.15583,38.398382
81581,0,-111.834786,41.14539
81582,0,-113.95455,37.957232
81585,0,-109.254523,39.783267
81591,0,-111.749085,40.806717
81592,0,-109.137622,37.394982
81597,0,-112.160647,39.613152
81606,0,-110.055172,40.92061
81606,1,-110.055172,40.92061
81607,0,-113.690911,41.953497
81609,0,-109.142482,40.793242
81610,0,-111.537733,40.966216
81610,1,-111.537733,40.966216
81612,0,-109.935974,40.695349
81615,0,-111.000555,39.614699
81618,0,-113.762641,37.244766
81620,0,-111.661132,41.143262
81623,0,-109.270124,38.519719
81623,1,-109.270124,38.519719
81626,0,-111.528619,39.613901
81627,0,-109.353681,40.460997
81629,0,-110.3625,39.569304
81630,0,-113.396408,38.150726
81632,0,-112.621977,37.830014
81632,1,-112.621977,37.830014
81633,0,-111.570039,37.996376
81633,1,-111.570039,37.996376
81637,0,-110.657185,38.805397
81638,0,-110.999623,39.439073
81639,0,-112.436503,38.71084
81641,0,-111.646724,38.067949
81642,0,-109.832039,39.245563
81642,1,-109.832039,39.245563
81651,0,-112.425054,37.758084
81653,0,-113.028969,37.350375
81654,0,-112.694367,37.008036
81655,0,-114.006562,38.681148
81656,0,-111.065581,40.295584
81656,1,-111.065581,40.295584
81657,0,-113.775403,37.60171
81660,0,-109.936338,40.645262
81662,0,-111.593061,40.833088
81662,1,-111.593061,40.833088
81664,0,-109.918427,37.582768
81665,0,-110.881717,37.995102
81666,0,-112.219646,39.200976
81671,0,-109.42771,39.744667
81672,0,-110.247587,39.297991
81675,0,-112.248374,37.812236
81677,0,-112.114594,39.796061
81681,0,-111.42083,40.831548
81685,0,-109.07673,37.925991
81687,0,-112.231447,40.011924
81688,0,-109.384604,38.796233
81689,0,-113.758952,41.610314
81695,0,-110.41926,39.890196
81695,1,-110.41926,39.890196
81706,0,-112.378673,38.707812
81708,0,-111.113574,40.112879
81709,0,-111.416688,40.335124
81710,0,-110.539567,39.797526
81713,0,-112.718427,37.379333
81716,0,-113.319453,37.390515
81718,0,-112.976025,37.43646
81719,0,-111.172007,40.785729
81719,1,-111.172007,40.785729
81723,0,-111.578871,38.711468
81723,1,-111.578871,38.711468
81728,0,-112.872611,37.577017
81729,0,-110.151685,37.273001
81731,0,-110.639985,37.022489
81734,0,-111.837449,40.924806
81736,0,-109.784831,40.93536
81745,0,-112.391317,38.678546
81755,0,-112.198825,38.124519
81756,0,-113.453137,38.289006
81757,0,-113.481533,41.97645
81763,0,-111.11391,39.61774
81764,0,-113.805605,38.31978
81766,0,-109.928222,37.717385
81771,0,-109.667804,39.386069
81776,0,-109.555602,39.155679
81778,0,-111.47539,40.783204
81782,0,-113.459204,37.58145
81783,0,-113.31946,37.479754
81784,0,-110.834957,40.156788
81784,1,-110.834957,40.156788
81787,0,-109.076544,37.56817
81788,0,-109.749833,40.921139
81790,0,-109.309241,39.694425
81791,0,-112.586592,37.307454
81793,0,-109.299839,38.545
81793,1,-109.299839,38.545
81795,0,-110.092314,37.857315
81798,0,-110.361115,40.880786
81799,0,-113.483854,37.333007
81803,0,-110.534924,38.981987
81805,0,-112.641894,39.965615
81809,0,-112.071921,37.227236
81810,0,-110.824929,40.650877
81813,0,-112.401858,38.192816
81816,0,-113.14452,37.301558
81818,0,-112.192352,38.03523
81818,1,-112.192352,38.03523
81822,0,-111.182298,40.882772
81822,1,-111.182298,40.882772
81825,0,-112.654488,40.598565
81833,0,-113.47041,41.841055
81834,0,-112.263951,41.995936
81837,0,-111.749727,38.713212
81837,1,-111.749727,38.713212
81843,0,-111.225131,37.997108
81845,0,-110.870805,40.877121
81850,0,-112.42071,37.531686
81851,0,-110.878778,40.382863
81851,1,-110.878778,40.382863
81861,0,-112.456043,37.037648
81862,0,-110.333126,40.050126
81863,0,-109.874049,37.449213
81865,0,-111.804218,38.84339
81866,0,-112.020165,37.991632
81875,0,-110.821031,40.473743
81878,0,-110.528216,40.115891
81879,0,-111.357063,39.706193
81879,1,-111.357063,39.706193
81880,0,-110.885057,39.890095
81888,0,-109.09235,37.591967
81890,0,-111.682915,37.678342
81894,0,-111.807819,39.300317
81898,0,-109.089518,39.424444
81899,1,-110.827947,38.125898
81902,0,-111.706106,40.425638
81902,1,-111.706106,40.425638
81907,0,-110.536949,39.123496
81910,0,-114.010709,37.659596
81913,0,-109.221059,39.409234
81914,0,-109.637169,37.761632
81915,0,-111.575375,41.176268
81915,1,-111.575375,41.176268
81920,0,-111.534171,40.652727
81921,0,-112.329549,37.334776
81923,0,-112.347954,40.063354
81927,0,-112.777569,38.519338
81929,1,-110.687765,37.885004
81929,0,-110.687765,37.885004
81930,0,-111.350454,39.25739
81930,1,-111.350454,39.25739
81932,0,-112.714188,41.829822
81933,0,-111.842572,37.047407
81938,0,-111.323394,38.016793
81943,0,-112.984934,37.799882
81945,0,-112.59232,40.465615
81947,0,-112.582243,37.579231
81950,0,-112.479996,40.414289
81955,0,-111.889563,41.424197
81962,0,-111.655137,40.878415
81966,0,-112.312492,38.169583
81968,0,-111.72802,41.631217
81970,0,-113.987949,41.739668
81973,0,-112.434733,38.530431
81974,0,-110.077003,39.119978
81975,0,-109.777667,39.294115
81976,0,-109.998779,40.648714
81976,1,-109.998779,40.648714
81979,0,-109.099721,38.968025
81986,0,-109.072974,39.605461
81992,0,-112.777638,38.431331
81993,0,-112.375263,38.435746
81993,1,-112.375263,38.435746
81997,0,-112.050652,38.927438
81999,0,-109.382882,38.5691
82005,0,-109.128833,39.732907
82007,0,-109.523494,40.593506
82009,0,-112.878178,37.712395
82009,1,-112.878178,37.712395
82011,0,-109.41812,37.444215
82013,0,-112.908106,37.032236
82014,0,-110.533383,39.39276
82015,0,-111.766769,40.829285
82017,0,-112.222226,39.523358
82024,0,-111.590545,41.677486
82024,1,-111.590545,41.677486
82032,0,-109.862913,38.038763
82033,0,-112.168453,39.924543
82034,0,-112.509428,37.076138
82037,0,-110.599364,39.342119
82038,0,-111.508738,38.177402
82039,0,-112.857499,37.124329
82044,0,-112.869613,37.529784
82048,0,-113.467337,38.185627
82053,1,-112.337495,38.276038
82053,0,-112.337495,38.276038
82055,0,-109.358327,37.528694
82056,0,-111.123537,40.067627
82056,1,-111.123537,40.067627
82057,0,-109.835212,38.197107
82059,0,-113.64853,37.288596
82061,0,-111.178941,39.29812
82062,0,-110.582144,40.742254
82066,0,-109.818586,37.709777
82067,0,-110.364863,39.523795
82072,0,-109.752045,37.580771
82073,0,-109.186013,37.713173
82076,0,-112.086338,38.257711
82076,1,-112.086338,38.257711
82084,0,-112.428837,38.256364
82086,0,-111.699775,39.970303
